gene_id	gene	log2FoldChange	padj	stat	group
ENSG00000185985	SLITRK2	2.8027	0.0049	up	UB_T10_T12_vs_T3_T5
ENSG00000160161	CILP2	2.5126	0	up	UB_T10_T12_vs_T3_T5
ENSG00000144339	TMEFF2	2.985	0.0115	up	UB_T10_T12_vs_T3_T5
ENSG00000229676	ZNF492	-3.16	0.0045	down	UB_T10_T12_vs_T3_T5
ENSG00000185008	ROBO2	2.6988	0.0041	up	UB_T10_T12_vs_T3_T5
ENSG00000229637	PRAC2	3.5427	0.0477	up	UB_T10_T12_vs_T3_T5
ENSG00000179292	TMEM151A	2.0235	4e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000166165	CKB	2.2024	0	up	UB_T10_T12_vs_T3_T5
ENSG00000112559	MDFI	-5.4616	0	down	UB_T10_T12_vs_T3_T5
ENSG00000283445	AL136985.3	2.3727	0.0206	up	UB_T10_T12_vs_T3_T5
ENSG00000179826	MRGPRX3	3.8038	0.0039	up	UB_T10_T12_vs_T3_T5
ENSG00000179242	CDH4	-2.1322	0	down	UB_T10_T12_vs_T3_T5
ENSG00000115602	IL1RL1	2.289	0.0098	up	UB_T10_T12_vs_T3_T5
ENSG00000112182	BACH2	-2.5245	0	down	UB_T10_T12_vs_T3_T5
ENSG00000112981	NME5	2.2606	3e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000163898	LIPH	3.1092	4e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000059915	PSD	2.0187	0	up	UB_T10_T12_vs_T3_T5
ENSG00000125726	CD70	6.4061	0	up	UB_T10_T12_vs_T3_T5
ENSG00000164400	CSF2	2.6145	0.0041	up	UB_T10_T12_vs_T3_T5
ENSG00000283761	AC118553.2	-2.2138	0.023	down	UB_T10_T12_vs_T3_T5
ENSG00000164796	CSMD3	2.2572	0.0215	up	UB_T10_T12_vs_T3_T5
ENSG00000152580	IGSF10	-3.0311	0.0012	down	UB_T10_T12_vs_T3_T5
ENSG00000164181	ELOVL7	3.2117	0.0023	up	UB_T10_T12_vs_T3_T5
ENSG00000170500	LONRF2	-2.445	0	down	UB_T10_T12_vs_T3_T5
ENSG00000106066	CPVL	-2.5377	0.0103	down	UB_T10_T12_vs_T3_T5
ENSG00000246228	CASC8	2.7415	0.0021	up	UB_T10_T12_vs_T3_T5
ENSG00000197977	ELOVL2	-2.6553	1e-4	down	UB_T10_T12_vs_T3_T5
ENSG00000263155	MYZAP	2.1368	0.0138	up	UB_T10_T12_vs_T3_T5
ENSG00000162631	NTNG1	5.8672	0	up	UB_T10_T12_vs_T3_T5
ENSG00000215417	MIR17HG	-2.2237	3e-4	down	UB_T10_T12_vs_T3_T5
