gene_id	gene	log2FoldChange	padj	stat	group
ENSG00000276012	AL160153.1	3.8198	0.0224	up	AD_T10_T12_vs_T3_T5
ENSG00000169442	CD52	2.2947	0.0338	up	AD_T10_T12_vs_T3_T5
ENSG00000121316	PLBD1	-2.1628	0	down	AD_T10_T12_vs_T3_T5
ENSG00000211772	TRBC2	-4.1516	0	down	AD_T10_T12_vs_T3_T5
ENSG00000022556	NLRP2	2.9248	0.0324	up	AD_T10_T12_vs_T3_T5
ENSG00000158406	HIST1H4H	3.3203	0	up	AD_T10_T12_vs_T3_T5
ENSG00000185818	NAT8L	2.3547	0.0195	up	AD_T10_T12_vs_T3_T5
ENSG00000005513	SOX8	2.8115	0	up	AD_T10_T12_vs_T3_T5
ENSG00000137675	MMP27	-3.4774	0.0237	down	AD_T10_T12_vs_T3_T5
ENSG00000138336	TET1	-2.3849	0	down	AD_T10_T12_vs_T3_T5
ENSG00000153902	LGI4	-3.3644	0.0028	down	AD_T10_T12_vs_T3_T5
ENSG00000142494	SLC47A1	-2.3194	9e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000139209	SLC38A4	2.1801	0.0224	up	AD_T10_T12_vs_T3_T5
ENSG00000105639	JAK3	2.1883	1e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000226644	AL121899.1	3.5906	0	up	AD_T10_T12_vs_T3_T5
ENSG00000183134	PTGDR2	-3.0698	0.0023	down	AD_T10_T12_vs_T3_T5
ENSG00000145386	CCNA2	-2.356	0	down	AD_T10_T12_vs_T3_T5
ENSG00000152253	SPC25	-2.2566	0	down	AD_T10_T12_vs_T3_T5
ENSG00000235008	AL023775.1	2.3764	0.0046	up	AD_T10_T12_vs_T3_T5
ENSG00000171724	VAT1L	-6.1307	0	down	AD_T10_T12_vs_T3_T5
ENSG00000099284	H2AFY2	-3.3762	0	down	AD_T10_T12_vs_T3_T5
ENSG00000174599	TRAM1L1	-2.3845	0.0174	down	AD_T10_T12_vs_T3_T5
ENSG00000111046	MYF6	-3.1412	0.0079	down	AD_T10_T12_vs_T3_T5
ENSG00000236366	AL359313.1	4.1537	0.0329	up	AD_T10_T12_vs_T3_T5
ENSG00000196666	FAM180B	-3.6001	0.0229	down	AD_T10_T12_vs_T3_T5
ENSG00000137804	NUSAP1	-2.2399	0	down	AD_T10_T12_vs_T3_T5
ENSG00000154856	APCDD1	-2.0921	5e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000196081	ZNF724	-2.4997	5e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000157470	FAM81A	-2.124	0	down	AD_T10_T12_vs_T3_T5
ENSG00000152217	SETBP1	-2.4631	0	down	AD_T10_T12_vs_T3_T5
ENSG00000126787	DLGAP5	-2.2381	0	down	AD_T10_T12_vs_T3_T5
ENSG00000116833	NR5A2	3.5518	0	up	AD_T10_T12_vs_T3_T5
ENSG00000197903	HIST1H2BK	2.332	0	up	AD_T10_T12_vs_T3_T5
ENSG00000183856	IQGAP3	-2.3996	0	down	AD_T10_T12_vs_T3_T5
ENSG00000277758	FO681492.1	2.16	0.0059	up	AD_T10_T12_vs_T3_T5
ENSG00000186891	TNFRSF18	3.7716	0.0225	up	AD_T10_T12_vs_T3_T5
ENSG00000163092	XIRP2	2.2372	0.0102	up	AD_T10_T12_vs_T3_T5
ENSG00000137801	THBS1	2.6925	0.0015	up	AD_T10_T12_vs_T3_T5
ENSG00000115290	GRB14	2.1284	0	up	AD_T10_T12_vs_T3_T5
ENSG00000100162	CENPM	-2.2243	0	down	AD_T10_T12_vs_T3_T5
ENSG00000179921	GPBAR1	-2.0449	0.024	down	AD_T10_T12_vs_T3_T5
ENSG00000113739	STC2	2.3153	0	up	AD_T10_T12_vs_T3_T5
ENSG00000135472	FAIM2	-3.4256	0	down	AD_T10_T12_vs_T3_T5
ENSG00000141293	SKAP1	2.4644	0.0069	up	AD_T10_T12_vs_T3_T5
ENSG00000235885	LINC01828	3.8356	0.0486	up	AD_T10_T12_vs_T3_T5
ENSG00000112186	CAP2	2.3804	0	up	AD_T10_T12_vs_T3_T5
ENSG00000279311	AC092999.1	2.4208	0.0351	up	AD_T10_T12_vs_T3_T5
ENSG00000165821	SALL2	-3.4194	1e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000225968	ELFN1	2.0583	0	up	AD_T10_T12_vs_T3_T5
ENSG00000249806	AC139720.1	3.483	0.0018	up	AD_T10_T12_vs_T3_T5
ENSG00000196172	ZNF681	-4.294	0.005	down	AD_T10_T12_vs_T3_T5
ENSG00000258788	CKS1BP1	2.5498	0.0071	up	AD_T10_T12_vs_T3_T5
ENSG00000161267	BDH1	-2.3878	0	down	AD_T10_T12_vs_T3_T5
ENSG00000112984	KIF20A	-2.6423	0	down	AD_T10_T12_vs_T3_T5
ENSG00000248572	EGFLAM-AS2	3.0281	0.01	up	AD_T10_T12_vs_T3_T5
ENSG00000178498	DTX3	-2.7953	3e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000076382	SPAG5	-2.1821	0	down	AD_T10_T12_vs_T3_T5
ENSG00000082497	SERTAD4	-3.4227	0.0291	down	AD_T10_T12_vs_T3_T5
ENSG00000180176	TH	3.8076	0.0329	up	AD_T10_T12_vs_T3_T5
ENSG00000133937	GSC	-2.1398	1e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000185274	GALNT17	2.505	0.0087	up	AD_T10_T12_vs_T3_T5
ENSG00000047936	ROS1	2.7765	0.009	up	AD_T10_T12_vs_T3_T5
ENSG00000153294	ADGRF4	6.3932	0	up	AD_T10_T12_vs_T3_T5
ENSG00000179593	ALOX15B	3.1032	0.0173	up	AD_T10_T12_vs_T3_T5
ENSG00000233532	LINC00460	2.2846	0	up	AD_T10_T12_vs_T3_T5
ENSG00000163491	NEK10	2.1523	0	up	AD_T10_T12_vs_T3_T5
ENSG00000182389	CACNB4	3.686	4e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000116703	PDC	-2.2463	0.0068	down	AD_T10_T12_vs_T3_T5
ENSG00000138160	KIF11	-2.018	0	down	AD_T10_T12_vs_T3_T5
ENSG00000180535	BHLHA15	2.4824	2e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000204613	TRIM10	4.5704	7e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000157542	KCNJ6	6.5979	0	up	AD_T10_T12_vs_T3_T5
ENSG00000246363	LINC02458	3.0627	0.0456	up	AD_T10_T12_vs_T3_T5
ENSG00000235782	AL031429.1	5.3944	0	up	AD_T10_T12_vs_T3_T5
ENSG00000241318	WDR82P2	4.4515	0.0033	up	AD_T10_T12_vs_T3_T5
ENSG00000142945	KIF2C	-2.2559	0	down	AD_T10_T12_vs_T3_T5
ENSG00000259721	AC090877.2	5.6055	0	up	AD_T10_T12_vs_T3_T5
ENSG00000164161	HHIP	2.0382	0	up	AD_T10_T12_vs_T3_T5
ENSG00000198354	DCAF12L2	-2.7078	0.0117	down	AD_T10_T12_vs_T3_T5
ENSG00000117399	CDC20	-2.1523	0	down	AD_T10_T12_vs_T3_T5
ENSG00000156970	BUB1B	-2.0514	0	down	AD_T10_T12_vs_T3_T5
ENSG00000142149	HUNK	-5.6969	0	down	AD_T10_T12_vs_T3_T5
ENSG00000258791	LINC00520	3.8537	0	up	AD_T10_T12_vs_T3_T5
ENSG00000049540	ELN	-3.3419	0.0012	down	AD_T10_T12_vs_T3_T5
ENSG00000110203	FOLR3	3.2342	0	up	AD_T10_T12_vs_T3_T5
ENSG00000260807	AC009041.2	2.9272	0	up	AD_T10_T12_vs_T3_T5
ENSG00000237560	LINC01497	4.4009	0.0107	up	AD_T10_T12_vs_T3_T5
ENSG00000164736	SOX17	2.574	0	up	AD_T10_T12_vs_T3_T5
ENSG00000268225	AC010487.1	2.3075	0.0092	up	AD_T10_T12_vs_T3_T5
ENSG00000131477	RAMP2	-3.9831	1e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000198028	ZNF560	3.3153	0	up	AD_T10_T12_vs_T3_T5
ENSG00000151702	FLI1	-2.2609	0.0315	down	AD_T10_T12_vs_T3_T5
